DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(F)cc3)cc2C)c(O)c1,-8.3,37.3,400.493,6.83148,1,2,10,3,36,3,25,27,0,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C(C#N)=C4CCCCC4)cc3)cc2C)c(O)c1,-9.7,61.09,475.632,8.43026,1,3,10,3,50,3,33,33,1,2,0
CNc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.9,49.33,309.409,4.56368,2,3,10,2,33,2,23,20,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(NCCO)cc3)cc2C)c(O)c1,-8.7,69.56,415.533,5.59318,3,4,13,3,42,2,29,27,1,3,0
Cc1cc(C)c(C=CC(=O)c2c(C)cc(N)cc2O)c(C)c1,-7.7,63.32,295.382,4.10418,2,3,9,2,30,2,21,19,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C)cc2C(C)C#N)c(O)c1,-8.4,61.09,333.431,5.14906,1,3,10,2,34,2,23,22,1,2,0
COC(=O)c1ccc(-c2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)cc1,-9.2,63.6,414.501,5.97558,1,4,11,3,38,3,26,27,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3cccc(C#N)c3)cc2C)c(O)c1,-9.9,61.09,407.513,6.56406,1,3,10,3,36,3,25,28,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C)cc2C(C)(C)C#N)c(O)c1,-8.9,61.09,347.458,5.32316,1,3,11,2,37,2,25,23,1,2,0
C=CCc1cc(-c2ccc(OC)cc2)cc(C)c1C=CC(=O)c1c(C)cc(C)cc1O,-9.2,46.53,412.529,6.61766,1,3,12,3,40,3,28,28,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(OCCC#N)cc3)cc2C)c(O)c1,-9.4,70.32,425.528,6.48146,1,4,12,3,40,2,27,28,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3c(Cl)cccc3Cl)cc2C)c(O)c1,-8.8,37.3,425.355,7.49578,1,2,9,3,33,2,22,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CC=C(C(=O)O)C(=O)O)cc2C)c(O)c1,-8.0,111.9,408.45,4.16008,3,6,12,2,38,5,24,24,0,6,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccccc3Cl)cc2C)c(O)c1,-9.9,37.3,416.948,7.34578,1,2,10,3,36,3,25,27,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C(=O)O)cc3C)cc2C)c(O)c1,-9.7,74.6,414.501,6.1956,2,4,11,3,38,3,26,27,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cccc(C=O)c3)cc2C)c(O)c1,-8.7,54.37,384.475,6.00148,1,3,10,3,34,3,24,26,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cccc(Cl)c3)cc2C)c(O)c1,-8.8,37.3,390.91,6.84238,1,2,9,3,33,2,23,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C(=O)CC#N)cc3)cc2C)c(O)c1,-8.0,78.16,423.512,6.28536,1,4,11,3,37,3,25,28,1,3,0
